Run,Evt,vertexX,vertexY,vertexZ,selected,selected_cheated_2d,selected_cheated_2d_vtx,selected_cheated_2d_vtx_3d,selected_cheated_2d_vtx_3d_mva
1056,2,199.419677734375,-105.58914184570312,344.8667907714844,1.0,1.0,1.0,1.0,1.0
1057,30,89.13801574707031,-11.326071739196777,-175.17747497558594,1.0,1.0,1.0,1.0,1.0
1058,32,104.85777282714844,23.431598663330078,357.50860595703125,0.0,0.0,0.0,0.0,0.0
1058,39,249.58102416992188,-134.98660278320312,1.14474618434906,1.0,1.0,1.0,1.0,1.0
1059,36,249.6563720703125,-50.41108322143555,821.0008544921875,1.0,1.0,1.0,0.0,1.0
106,12,198.50460815429688,-42.094512939453125,-627.6090087890625,0.0,1.0,1.0,1.0,1.0
1060,26,257.3880310058594,47.48291015625,-464.0978088378906,0.0,0.0,1.0,1.0,1.0
1061,2,190.26185607910156,92.51702117919922,-28.757997512817383,0.0,0.0,0.0,0.0,0.0
1061,18,149.35496520996094,-66.03628540039062,533.20458984375,1.0,1.0,1.0,1.0,1.0
1061,28,175.0724639892578,-3.998035192489624,17.1652774810791,1.0,0.0,0.0,0.0,0.0
1061,40,280.03143310546875,16.827953338623047,-771.068115234375,0.0,1.0,1.0,1.0,1.0
1063,6,300.66748046875,65.71746063232422,778.427734375,0.0,0.0,0.0,0.0,0.0
1064,3,290.4917297363281,-99.06919860839844,23.10457992553711,0.0,0.0,0.0,0.0,0.0
1067,36,141.96945190429688,-79.21780395507812,-675.5070190429688,1.0,0.0,1.0,1.0,1.0
1068,5,214.43283081054688,-133.57542419433594,68.92814636230469,1.0,1.0,1.0,1.0,1.0
107,10,239.77459716796875,59.07429504394531,-782.5629272460938,0.0,0.0,0.0,0.0,0.0
1070,3,222.5820770263672,5.3560404777526855,-257.49664306640625,0.0,0.0,0.0,0.0,0.0
1070,6,170.09693908691406,66.53131866455078,-107.77455139160156,1.0,1.0,1.0,1.0,1.0
1070,38,234.8488311767578,35.086326599121094,757.7564086914062,0.0,0.0,0.0,1.0,1.0
1072,1,114.33244323730469,-153.2887725830078,-464.78399658203125,0.0,0.0,0.0,0.0,0.0
1073,32,88.49315643310547,83.42447662353516,-306.87664794921875,1.0,1.0,1.0,1.0,1.0
1074,14,132.3985595703125,13.138309478759766,-654.8311767578125,0.0,1.0,1.0,1.0,1.0
1074,29,258.9443359375,-36.15549850463867,32.02899932861328,1.0,1.0,1.0,1.0,1.0
1077,38,256.9322204589844,-58.88703536987305,-437.5096740722656,1.0,1.0,1.0,1.0,1.0
1078,17,127.60737609863281,101.56828308105469,311.4331970214844,1.0,1.0,1.0,1.0,1.0
1079,32,306.72369384765625,31.42584991455078,-61.98048782348633,0.0,1.0,1.0,1.0,1.0
108,4,187.55955505371094,78.624755859375,-568.115234375,0.0,0.0,0.0,0.0,0.0
108,33,122.55618286132812,-40.93590545654297,596.9187622070312,0.0,1.0,1.0,1.0,1.0
1081,2,250.08636474609375,-42.97785186767578,-312.3213806152344,0.0,0.0,0.0,0.0,0.0
1082,3,199.6215057373047,-44.46070861816406,-126.66582489013672,0.0,1.0,1.0,1.0,1.0
